      S          PHI         IOTA        SHEAR        VP         WELL        ITOR       ITOR'       PRES       PRES'
  7.3500E-01  2.8972E-02  1.0770E+00  2.0052E-01  8.9432E+00  5.0175E-01 -2.5290E-17 -1.0039E-13  0.0000E+00  0.0000E+00
  7.4000E-01  2.9169E-02  1.0773E+00  2.0151E-01  8.9431E+00  4.8662E-01 -4.9985E-17  7.2370E-14  0.0000E+00  0.0000E+00
  7.4500E-01  2.9366E-02  1.0777E+00  2.0247E-01  8.9430E+00  4.7180E-01 -7.4083E-18 -2.4059E-14  0.0000E+00  0.0000E+00
  7.5000E-01  2.9564E-02  1.0780E+00  2.0343E-01  8.9429E+00  4.5694E-01 -3.7723E-17 -1.0339E-14  0.0000E+00  0.0000E+00
  7.5500E-01  2.9761E-02  1.0784E+00  2.0440E-01  8.9428E+00  4.4169E-01 -9.0433E-17 -4.9472E-14  0.0000E+00  0.0000E+00
  7.6000E-01  2.9958E-02  1.0787E+00  2.0538E-01  8.9428E+00  4.2644E-01 -8.2088E-17  5.8942E-14  0.0000E+00  0.0000E+00
  7.6500E-01  3.0155E-02  1.0791E+00  2.0634E-01  8.9427E+00  4.1153E-01  5.6627E-17  9.8463E-14  0.0000E+00  0.0000E+00
  7.7000E-01  3.0352E-02  1.0795E+00  2.0729E-01  8.9426E+00  3.9656E-01  9.2221E-17 -5.8073E-14  0.0000E+00  0.0000E+00
  7.7500E-01  3.0549E-02  1.0798E+00  2.0825E-01  8.9425E+00  3.8119E-01  3.3210E-17 -8.8898E-15  0.0000E+00  0.0000E+00
  7.8000E-01  3.0746E-02  1.0802E+00  2.0922E-01  8.9424E+00  3.6585E-01 -1.5328E-18 -3.0535E-14  0.0000E+00  0.0000E+00
  7.8500E-01  3.0943E-02  1.0806E+00  2.1019E-01  8.9424E+00  3.5089E-01  1.5413E-17  4.9765E-14  0.0000E+00  0.0000E+00
  7.9000E-01  3.1140E-02  1.0809E+00  2.1115E-01  8.9423E+00  3.3586E-01  9.7074E-18 -5.6239E-14  0.0000E+00  0.0000E+00
  7.9500E-01  3.1337E-02  1.0813E+00  2.1210E-01  8.9422E+00  3.2028E-01 -1.8904E-17  2.3771E-14  0.0000E+00  0.0000E+00
  8.0000E-01  3.1534E-02  1.0817E+00  2.1306E-01  8.9422E+00  3.0464E-01 -8.5153E-18 -1.1982E-14  0.0000E+00  0.0000E+00
  8.0500E-01  3.1731E-02  1.0821E+00  2.1403E-01  8.9421E+00  2.8946E-01 -2.2140E-17 -3.4788E-15  0.0000E+00  0.0000E+00
  8.1000E-01  3.1929E-02  1.0825E+00  2.1500E-01  8.9421E+00  2.7423E-01  2.9378E-17  6.1942E-14  0.0000E+00  0.0000E+00
  8.1500E-01  3.2126E-02  1.0828E+00  2.1594E-01  8.9420E+00  2.5825E-01  1.0840E-16  2.7734E-14  0.0000E+00  0.0000E+00
  8.2000E-01  3.2323E-02  1.0832E+00  2.1689E-01  8.9420E+00  2.4222E-01  6.9740E-17 -7.1606E-14  0.0000E+00  0.0000E+00
  8.2500E-01  3.2520E-02  1.0836E+00  2.1788E-01  8.9419E+00  2.2694E-01 -2.7760E-17 -3.9041E-14  0.0000E+00  0.0000E+00
  8.3000E-01  3.2717E-02  1.0840E+00  2.1887E-01  8.9419E+00  2.1149E-01  3.0911E-17  1.0562E-13  0.0000E+00  0.0000E+00
  8.3500E-01  3.2914E-02  1.0844E+00  2.1980E-01  8.9418E+00  1.9496E-01  6.9059E-17 -6.2330E-14  0.0000E+00  0.0000E+00
